Разгрузки;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
'0/0;-196831;-30881;135070;301020;466970;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;;;;;
'0/1;;-686984;-521033;-355083;-189133;-23139;142812;308762;474712;640663;806613;972563;1138514;1304508;;;;
'0/2;;;-1177136;-1011186;-845236;-679242;-513291;-347341;-181391;-15440;150510;316460;482411;648405;814355;;;
'0/3;;;;-1667289;-1501339;-1335345;-1169394;-1003444;-837494;-671543;-505593;-339643;-173692;-7698;158252;324202;;
'0/4;;;;;-2157442;-1991448;-1825497;-1659547;-1493597;-1327646;-1161696;-995746;-829795;-663801;-497851;-331901;-165950;
'0/5;;;;;;-2647551;-2481600;-2315650;-2149700;-1983749;-1817799;-1651849;-1485898;-1319904;-1153954;-988004;-822053;-656103
'1/1;;-30881;135070;301020;466970;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;1960611;;;;
'1/2;;;-521033;-355083;-189133;-23139;142812;308762;474712;640663;806613;972563;1138514;1304508;1470458;;;
'1/3;;;;-1011186;-845236;-679242;-513291;-347341;-181391;-15440;150510;316460;482411;648405;814355;980305;;
'1/4;;;;;-1501339;-1335345;-1169394;-1003444;-837494;-671543;-505593;-339643;-173692;-7698;158252;324202;490153;
'1/5;;;;;;-1991448;-1825497;-1659547;-1493597;-1327646;-1161696;-995746;-829795;-663801;-497851;-331901;-165950;0
'2/2;;;135070;301020;466970;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;1960611;2126561;;;
'2/3;;;;-355083;-189133;-23139;142812;308762;474712;640663;806613;972563;1138514;1304508;1470458;1636408;;
'2/4;;;;;-845236;-679242;-513291;-347341;-181391;-15440;150510;316460;482411;648405;814355;980305;1146256;
'2/5;;;;;;-1335345;-1169394;-1003444;-837494;-671543;-505593;-339643;-173692;-7698;158252;324202;490153;656103
'3/3;;;;301020;466970;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;1960611;2126561;2292511;;
'3/4;;;;;-189133;-23139;142812;308762;474712;640663;806613;972563;1138514;1304508;1470458;1636408;1802359;
'3/5;;;;;;-679242;-513291;-347341;-181391;-15440;150510;316460;482411;648405;814355;980305;1146256;1312206
'4/4;;;;;466970;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;1960611;2126561;2292511;2458462;
'4/5;;;;;;-23139;142812;308762;474712;640663;806613;972563;1138514;1304508;1470458;1636408;1802359;1968309
'5/5;;;;;;632964;798915;964865;1130815;1296766;1462716;1628666;1794617;1960611;2126561;2292511;2458462;2624412
