Разгрузки;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
'0/0;-501150;-159083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
'0/1;;-1347811;-1144061;-952391;-775677;-614076;-469436;-343917;-237365;-152915;-91492;-56180;-47853;-69647;-123514;-213464;-340474;-509580;;;;
'1/1;;-159083;182984;525000;867067;1209134;1551201;1893216;2235283;2577350;2919417;3261433;3603500;3945567;4287634;4629649;4971716;5313783;;;;
'0/2;;;-2078205;-1923594;-1780033;-1647421;-1526888;-1419360;-1325914;-1245422;-1179990;-1130646;-1096259;-1079965;-1081662;-1101502;-1141286;-1201167;-1283098;;;
'1/2;;;-947610;-699297;-456483;-219170;0;236903;454684;665990;869688;1065368;1253646;1432775;1603012;1764048;1915215;2056308;2186350;;;
'2/2;;;182984;525000;867067;1209134;1551201;1893216;2235283;2577350;2919417;3261433;3603500;3945567;4287634;4629649;4971716;5313783;5655850;;;
'0/3;;;;-2764549;-2630960;-2505390;-2386862;-2275375;-2172832;-2077331;-1991853;-1913416;-1845003;-1785585;-1735161;-1693887;-1663510;-1643207;-1633852;-1634623;;
'1/3;;;;-1668033;-1464951;-1267216;-1074157;-885828;-703460;-525771;-354763;-188484;-28835;124799;272420;413976;548232;675807;796032;909523;;
'2/3;;;;-571517;-298942;-29041;238496;503669;765911;1025790;1282327;1536500;1787332;2035183;2280053;2521787;2759974;2994770;3225967;3453720;;
'3/3;;;;525000;867067;1209134;1551201;1893216;2235283;2577350;2919417;3261433;3603500;3945567;4287634;4629649;4971716;5313783;5655850;5997866;;
'0/4;;;;;-3396718;-3266162;-3137559;-3014045;-2893512;-2775960;-2662366;-2552884;-2446383;-2344868;-2246386;-2151912;-2061448;-1974942;-1892497;-1814060;-1740610;
'1/4;;;;;-2330784;-2147338;-1965382;-1787229;-1611287;-1437607;-1266907;-1099292;-933938;-772285;-612894;-456535;-303157;-152761;-5397;138934;279513;
'2/4;;;;;-1264800;-1028514;-793153;-560414;-329114;-99305;128500;354300;578558;800349;1020650;1238894;1455134;1669421;1881703;2091929;2299636;
'3/4;;;;;-198867;90310;379024;666401;953110;1239048;1523959;1807841;2091003;2372932;2654142;2934272;3213425;3491602;3768751;4044872;4319810;
'4/4;;;;;867067;1209134;1551201;1893216;2235283;2577350;2919417;3261433;3603500;3945567;4287634;4629649;4971716;5313783;5655850;5997866;6339933;
'0/5;;;;;;-3961758;-3818095;-3675563;-3531951;-3388339;-3245756;-3102144;-2959561;-2815949;-2672337;-2529805;-2386194;-2243559;-2099947;-1957363;-1813803;-1670140
'1/5;;;;;;-2927590;-2744246;-2561827;-2378484;-2195191;-2012721;-1829429;-1646959;-1463666;-1280323;-1097904;-914612;-732090;-548798;-366328;-183035;0
'2/5;;;;;;-1893422;-1670397;-1448041;-1225068;-1002043;-779687;-556713;-334357;-111332;111641;333997;556970;779378;1002351;1224708;1447681;1670706
'3/5;;;;;;-859202;-596497;-334306;-71600;191054;453348;716002;978296;1240950;1503656;1765847;2028552;2290847;2553552;2815795;3078449;3341154
'4/5;;;;;;174966;477352;779481;1081816;1384202;1686383;1988717;2290898;2593284;2895619;3197748;3500134;3802315;4104701;4406830;4709165;5011551
'5/5;;;;;;1209134;1551201;1893216;2235283;2577350;2919417;3261433;3603500;3945567;4287634;4629649;4971716;5313783;5655850;5997866;6339933;6682000
