Дата;ЦЗСП;Параметр N;Параметр K;Средний;Эффект;
01.07.2024;0;1;7.0;2574529.34;17337330.08;
02.07.2024;0;1;7.0;17337330.08;20454962.51;
03.07.2024;0;2;7;18896146.29;18265756.01;
04.07.2024;0;3;2.56;18686016.20;29070052.74;
05.07.2024;0;4;2.56;21282025.33;22270731.14;
06.07.2024;0;4;2.56;22515375.60;;
07.07.2024;0;4;2.56;22515375.60;;
08.07.2024;0;5;2.56;21479766.50;6482526.63;
09.07.2024;0;6;2.56;18980226.52;13616373.12;
10.07.2024;0;7;2.56;18213961.75;9318116.07;
11.07.2024;0;8;2.56;17101981.04;6397976.48;
12.07.2024;0;9;2.24;15912647.20;7935455.53;
13.07.2024;0;9;2.24;14867994.47;;
14.07.2024;0;9;2.24;14867994.47;;
15.07.2024;0;10;2.24;15114928.03;8098253.14;
16.07.2024;0;10;2.24;14191020.34;14646569.67;
17.07.2024;0;10;2.24;13610181.05;9815662.00;
18.07.2024;0;10;2.24;12765171.65;10815863.51;
19.07.2024;0;4;1.86;10844087.08;12160757.49;
20.07.2024;0;5;2.01;11107421.16;;
21.07.2024;0;5;1.52;11107421.16;;
22.07.2024;0;5;1.52;11107421.16;15550935.70;
23.07.2024;0;5;1.52;12597957.68;10638573.48;
24.07.2024;0;5;1.52;11796358.44;13299405.52;
25.07.2024;1;3;1;13162971.56;18662447.35;
26.07.2024;1;7;1.32;12991949.29;68943178.79;
27.07.2024;0;8;1.87;19985852.98;;
28.07.2024;0;9;2.02;19392599.28;;
29.07.2024;1;10;2.16;18263164.67;71402923.22;
30.07.2024;0;9;2.75;25698860.79;27496523.91;
31.07.2024;0;9;2.75;27663401.00;12516437.57;
01.08.2024;0;10;2.16;26148704.66;21484067.27;
02.08.2024;0;10;1.71;27215525.03;13344978.01;
03.08.2024;0;10;1.57;27333947.08;;
04.08.2024;0;10;1.27;27333947.08;;
05.08.2024;0;7;1.27;33407222.30;12243177.33;
06.08.2024;0;7;1.27;32490183.73;15725135.74;
07.08.2024;0;7;1.27;24887606.15;15293468.87;
08.08.2024;0;7;1.27;16871969.81;13711450.63;
09.08.2024;0;7;1.27;14902673.63;12368320.37;
10.08.2024;0;7;1.27;14881514.03;;
11.08.2024;0;7;1.27;14881514.03;;
12.08.2024;0;7;1.27;14881514.03;10135474.93;
13.08.2024;0;7;1.27;13260286.55;4345229.13;
14.08.2024;0;7;1.27;11974608.14;11270485.21;

